variant_id,source_variant_id,status
b9319473-e351-4466-a08c-e580c52db848,34778976780450,archived
95bcecfb-4875-4922-b7c4-6aa63f8f4f97,34778976813218,archived
d140718f-d12c-41d0-9c37-337e300b20e0,34779017576610,archived
c17b5087-eee3-4820-a8ce-cc8475be0f1a,34779017609378,archived
e24da09b-b962-4a02-9285-ca24b9d71368,34779017642146,archived
dead79ea-2b8a-4366-912c-1d975b29e7e5,34779017674914,archived
f2e95061-d0e5-4b0c-a9a8-2fdb72348240,34779101167778,archived
565de4a7-40a7-4989-b65e-1d3ec2673358,34779101200546,archived
1002798d-438b-4ab5-93a5-50b96cd0c842,34779101233314,archived
6a82a120-0fa3-407c-9f30-119c3fe62d1f,34779171684514,archived
28561f8b-7a35-4a1b-8fc0-583f15437966,34779171717282,archived
e6ec8b19-9eb4-4c26-a955-406c9bd1b9f1,34779171750050,archived
eeec0889-4410-4fd5-ad1a-8ba2abaced71,34779171782818,archived
b60e6bb8-5ac4-443f-b0c0-f73559849e1b,34779191050402,archived
90597d92-c99a-4274-b51b-92f50848d038,34779191083170,archived
8a641a4c-2396-4cc1-8aed-babc23a3d7d2,34779191115938,archived
2d0c8472-3324-47f8-b3fa-25215637a058,36853726740642,archived
1a3e3a96-ce47-459c-9a94-0a2458b4da21,37175678533794,archived
031c284a-6575-4337-9654-dd08bacee89f,37175692230818,archived
ea3ef1f3-ae2b-40a8-a898-093a2de1e69d,37665093910690,archived
ff29d087-cb6f-4084-bc02-0a20fee4b9d0,37665141358754,archived
e3f87da4-273b-4550-b526-468112987783,37665152073890,archived
8385dbe1-178d-4715-93a4-3f30744c251f,37665152172194,archived
a99ab79b-8f6d-490e-9b50-2100ef78d4d9,37705436233890,archived
12ac6d44-d284-477e-9830-3c26e46d1ee8,39389442506914,archived
3c8b8b80-f766-46c1-ae86-20f34a1a6793,39389575348386,archived
aede30f1-4cf9-43ea-99a7-85bc332808de,39446220898466,archived
ac3d9d1b-f81b-4573-bf11-317d904f6b0b,39489139277986,archived
9054e6b0-559f-4e39-9d2f-e6feede44cf6,39489139310754,archived
9aced07f-cff7-48bc-8439-334f127f5d15,39489139343522,archived
1db13a8c-b098-4d7d-98d0-0c0af53eab56,39489139376290,archived
e484e2bc-a13b-4bfe-92d2-e9344c6bfba0,39534139703458,archived
a850d5a3-1d22-407a-97fe-9fac419315fe,39534181875874,archived
5834ec57-b136-4f1f-87e4-6ddae8054f7b,39534291353762,archived
f6d08b60-f7d4-4e11-897b-2449c27658a6,39625200992418,archived
b8f4ea13-c531-4d32-b1fe-297716a98304,39625228517538,archived
0ec7aac9-dce8-43c6-9071-7cd8ad04b0df,39625237332130,archived
a000a420-c1eb-4985-9b26-9251da4d82ce,39625245687970,archived
cacae202-7aff-42c0-b27f-ef5e3b565d50,39625258205346,archived
b81dd655-1f52-4d0b-8fd7-06bcb836ff59,39625271410850,archived
0ec0f215-f14c-4b84-87c4-e3e9d9bd0350,39625277276322,archived
ced38668-6339-4d40-95da-18d1acd2a023,39625287172258,archived
b853cfc4-9de8-43ea-889d-23d3daf43b29,39625293234338,archived
a73b86d8-9253-46ee-a4af-b2b7d56ea1bc,39625297985698,archived
2c365680-e081-45a7-aa5d-6d71509bf941,39625304998050,archived
2cb26b24-d5e1-4179-95a5-bf418d9509d8,39625313517730,archived
ab78be27-993b-4976-ab12-2fb6dc387c50,39634985713826,archived
690b55e4-168b-49b7-9dc7-1f8fd2fc4ecd,39635064029346,archived
c56a72fa-2bb6-4ab1-badb-8813f423681f,39643092615330,archived
771025ce-6f3c-4099-99c6-68ca0d74e42e,39643267334306,archived
df271a07-bca7-4144-afff-647ff3e18259,39688561459362,archived
